"First Name (required)","Last Name (required)","Title","Company","Description","Image URL","Website","Twitter Handle","Facebook URL","LinkedIn URL","Session IDs","Attendee ID","Speaker ID"
"Michael","Schnuerle","Brigade Captain","Louisville Civic Data Alliance","","http://codeforamerica.org/media/images/people/michael-schnuerle.jpg","","","","","breakout_121","","michael-schnuerle"
"Theresa","Reno-Weber","Chief of Performance & Technology","Louisville Metro Government","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/theresa-reno-weber.jpg","","","","","breakout_121,breakout_160","","theresa-reno-weber"
"Adam","Hecktman","Director of Tech & Civic Innovation for Chicago","Microsoft","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/adam-hecktman.jpg","","","","","breakout_123","","adam-hecktman"
"Lourdes","German","Fellow","Lincoln Institute of Land Policy and Director, Civic Innovation Project","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/lourdes-german.jpg","","","","","breakout_123","","lourdes-german"
"Holly","St. Clair","Director of Data Services","Boston's Metropolitan Area Planning Council","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/holly-st-clair.jpg","","","","","breakout_123","","holly-st-clair"
"Steven","Vance","Transportation Reporter","Streetsblog Chicago","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/steven-vance.jpg","","","","","breakout_123","","steven-vance"
"Gordon","Feller","Director of Internet of Everything","Cisco","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/gordon-feller.jpg","","","","","breakout_123","","gordon-feller"
"Claire","Micklin","Interaction Designer","University of Chicago","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/claire-micklin.jpg","","","","","breakout_123,breakout_157","","claire-micklin"
"Jake","Levitas","Co-founder","Our City","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jake-levitas.jpg","","","","","breakout_124","","jake-levitas"
"Ray","Boyle","Co-founder","Our City","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/ray-boyle.jpg","","","","","breakout_124","","ray-boyle"
"Curt","Savoie","Principal Data Scientist","Boston","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/curt-savoie.jpg","","","","","breakout_125","","curt-savoie"
"Cam","Caldwell","Director","Nonprofit and Philanthropic Partnerships, Socrata","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/cam-caldwell.jpg","","","","","breakout_126","","cam-caldwell"
"Alan","Williams","Designer","Code for America","","http://codeforamerica.org/media/images/people/alan-williams.jpg","","","","","breakout_127","","alan-williams"
"Mollie","Ruskin","Product and Service Designer","United States Digital Service","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/mollie-ruskin.jpg","","","","","breakout_127","","mollie-ruskin"
"Tiffany","Chu","Co-founder","Remix","","http://codeforamerica.org/media/images/people/tiffany-chu.jpg","","","","","breakout_127","","tiffany-chu"
"Kavi","Harshawat","Designer","U.S. Department of Veterans Affairs","","http://codeforamerica.org/media/images/people/kavi-harshawat.jpg","","","","","breakout_127","","kavi-harshawat"
"Shelly","Ni","Fellow","Code for America","","http://codeforamerica.org/media/images/people/shelly-ni.jpg","","","","","breakout_127","","shelly-ni"
"Ashley","Meyers","Civic Innovation Fellow","San Francisco Mayor's Office","","http://codeforamerica.org/media/images/people/ashley-meyers.jpg","","","","","breakout_128","","ashley-meyers"
"Eric","Mill","Developer","18F","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/eric-mill.jpg","","","","","breakout_129","","eric-mill"
"Karissa","Demi","‎Front-End Web Developer","City of Philadelphia","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/karissa-demi.jpg","","","","","breakout_131","","karissa-demi"
"Mike","Migurski","Chief Technology Officer","Code for America","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/michal-migurski.jpg","","","","","breakout_133","","michal-migurski"
"Ian","Dees","Engineer","Braintree","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/ian-dees.jpg","","","","","breakout_133","","ian-dees"
"Diana","Shkolnikov","Engineering Director","Search, Mapzen","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/diana-shkolnikov.jpg","","","","","breakout_133","","diana-shkolnikov"
"Johnny","'Diggz' Higgins","Chief Evangelist","Tropo","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/johnny-higgins.jpg","","","","","breakout_164","","johnny-higgins"
"Andy","Krackov","Associate Director for External Engagement","California HealthCare Foundation","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/andy-krackov.jpg","","","","","breakout_134","","andy-krackov"
"Dale","Fleming","Director","Office of Strategy and Innovation Health and Human Services Agency County of San Diego","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/dale-fleming.jpg","","","","","breakout_134","","dale-fleming"
"Joel","Riphagen","Owner","Riphagen Consulting and Policy Evangelist, Code for Sacramento","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/joel-riphagen.jpg","","","","","breakout_134","","joel-riphagen"
"Matt","Willis, MD, MPH","Public Health Officer","Marin County Health and Human Services","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/matt-willis.jpg","","","","","breakout_134","","matt-willis"
"Joy","Bonaguro","Chief Data Officer","‎City and County of San Francisco","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/joy-bonaguro.jpg","","","","","breakout_135,breakout_158","","joy-bonaguro"
"Jason","Lally","Open Data Program Manager","City and County of San Francisco","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jason-lally.jpg","","","","","breakout_135,breakout_158","","jason-lally"
"Oscar","Montiel","Co-founder","Codeando México","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/oscar-montiel.jpg","","","","","breakout_136","","oscar-montiel"
"Juan","Pablo Escobar","Co-founder","Codeando México","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/juan-pablo-escobar.jpg","","","","","breakout_136","","juan-pablo-escobar"
"Nikki","Zeichner","Fellow","Code for America","","http://codeforamerica.org/media/images/people/nikki-zeichner.jpg","","","","","breakout_137","","nikki-zeichner"
"Margaret","Hagan","Lecturer","Stanford Institute of Design","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/margaret-hagan.jpg","","","","","breakout_137","","margaret-hagan"
"Alex","Gulotta","Executive Director","Bay Area Legal Aid","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/alex-gulotta.jpg","","","","","breakout_137","","alex-gulotta"
"Sacha","Steinberger","Founding Attorney","Project Legal Link","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/sacha-steinberger.jpg","","","","","breakout_137","","sacha-steinberger"
"Genevieve","Nielsen","Co-founder and CTO","mRelief","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/genevieve-nielsen.jpg","","","","","breakout_138","","genevieve-nielsen"
"Rose","Afriyie","Co-founder and Project Manager","mRelief","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/rose-afriyie.jpg","","","","","breakout_138","","rose-afriyie"
"Brendan","Babb","Sr. Programmer/Analyst","PangoMedia","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/brendan-babb.jpg","","","","","breakout_138","","brendan-babb"
"Clarence","Wardell","Presidential Innovation Fellow","U.S. Department of Energy","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/clarence-wardell.jpg","","","","","breakout_139","","clarence-wardell"
"Michele","Jolin","CEO","Results for America","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/michele-jolin.jpg","","","","","breakout_160","","michele-jolin"
"Oliver","Wise","Director of Performance and Accountability","City of New Orleans","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/oliver-wise.jpg","","","","","breakout_160,breakout_145","","oliver-wise"
